,MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
74,short,LSKUSDT,30:9:15:31,1.42500000,30:9:16:31,1.42400000,True
75,long,KLAYUSDT,30:9:15:34,0.20810000,30:9:16:34,0.20790000,False
76,short,ETCUSDT,30:9:15:40,24.66000000,30:9:16:40,24.67000000,False
77,short,QNTUSDT,30:9:15:42,107.50000000,30:9:16:42,107.40000000,True
78,short,ONEUSDT,30:9:15:45,0.01501000,30:9:16:45,0.01500000,True
79,short,C98USDT,30:9:15:54,0.24150000,30:9:16:54,0.24150000,False
80,short,SNXUSDT,30:9:16:31,3.22400000,30:9:17:31,3.22500000,False
81,short,TWTUSDT,30:9:16:58,1.11870000,30:9:17:58,1.11850000,True
82,short,XVSUSDT,30:9:17:11,12.37000000,30:9:18:11,12.37000000,False
83,long,XAIUSDT,30:9:17:16,0.83440000,30:9:18:16,0.83570000,True
84,long,MTLUSDT,30:9:17:22,1.48600000,30:9:18:22,1.48800000,True
85,short,SKLUSDT,30:9:17:59,0.07658000,30:9:18:59,0.07666000,False
86,short,IMXUSDT,30:9:18:4,2.01040000,30:9:19:4,2.01060000,False
87,short,FLMUSDT,30:9:18:7,0.07830000,30:9:19:7,0.07850000,False
88,long,NTRNUSDT,30:9:18:8,1.16140000,30:9:19:8,1.16140000,False
89,short,XTZUSDT,30:9:18:12,0.99000000,30:9:19:12,0.99000000,False
90,short,TIAUSDT,30:9:18:27,17.65890000,30:9:19:27,17.65140000,True
91,short,ENSUSDT,30:9:18:38,19.34000000,30:9:19:38,19.37000000,False
92,long,ENJUSDT,30:9:18:38,0.29330000,30:9:19:38,0.29350000,True
93,short,CAKEUSDT,30:9:18:42,2.62400000,30:9:19:42,2.62400000,False
94,long,IOTXUSDT,30:9:19:22,0.04370000,30:9:20:22,0.04372000,True
95,long,LOOMUSDT,30:9:19:39,0.08868000,30:9:20:39,0.08867000,False
96,long,POLYXUSDT,30:9:19:56,0.16130000,30:9:20:56,0.16130000,False
97,long,MEMEUSDT,30:9:20:4,0.02368100,30:9:21:4,0.02367200,False
98,short,AUCTIONUSDT,30:9:20:14,25.06000000,30:9:21:14,25.01000000,True
99,long,BNXUSDT,30:9:20:27,0.28940000,30:9:21:27,0.28940000,False
100,short,NEOUSDT,30:9:20:46,11.18000000,30:9:21:46,11.18000000,False
101,short,RADUSDT,30:9:20:52,1.96500000,30:9:21:52,1.96400000,True
102,short,SCUSDT,30:9:21:1,0.00877700,30:9:22:1,0.00876400,True
103,long,ACEUSDT,30:9:21:36,9.63850000,30:9:22:36,9.62230000,False
104,short,XRPUSDT,30:9:21:53,0.53620000,30:9:22:53,0.53590000,True
105,short,HFTUSDT,30:9:22:4,0.32480000,30:9:23:4,0.32480000,False
106,long,STMXUSDT,30:9:22:46,0.00707300,30:9:23:46,0.00707300,False
107,long,JTOUSDT,30:9:23:5,2.18730000,30:9:24:5,2.18120000,False
108,short,RVNUSDT,30:9:23:30,0.01874000,30:9:24:30,0.01873000,True
109,long,GASUSDT,30:9:24:9,5.80900000,30:9:25:9,5.80500000,False
110,long,ZENUSDT,30:9:24:16,8.06000000,30:9:25:16,8.06000000,False
111,short,DUSKUSDT,30:9:24:37,0.25550000,30:9:25:37,0.25530000,True
112,short,ZECUSDT,30:9:24:53,22.89000000,30:9:25:53,22.88000000,True
113,long,STXUSDT,30:9:25:14,1.57080000,30:9:26:14,1.56950000,False
114,short,COTIUSDT,30:9:25:15,0.05874000,30:9:26:15,0.05874000,False
115,short,KLAYUSDT,30:9:25:33,0.20760000,30:9:26:33,0.20760000,False
116,long,RENUSDT,30:9:25:36,0.05517000,30:9:26:36,0.05517000,False
117,short,LINAUSDT,30:9:25:47,0.00802500,30:9:26:47,0.00803000,False
118,short,CHRUSDT,30:9:26:16,0.25870000,30:9:27:16,0.25880000,False
119,short,OGNUSDT,30:9:26:16,0.16590000,30:9:27:16,0.16600000,False
120,short,AAVEUSDT,30:9:26:17,93.05000000,30:9:27:17,93.00000000,True
121,short,AVAXUSDT,30:9:26:20,35.77000000,30:9:27:20,35.75000000,True
122,short,ROSEUSDT,30:9:26:24,0.10812000,30:9:27:24,0.10822000,False
123,short,GALUSDT,30:9:27:17,1.86000000,30:9:28:17,1.86000000,False
124,short,BATUSDT,30:9:27:23,0.22760000,30:9:28:23,0.22760000,False
125,long,CTKUSDT,30:9:27:26,0.64910000,30:9:28:26,0.64970000,True
126,short,IDUSDT,30:9:27:28,0.28914000,30:9:28:28,0.28889000,True
127,short,TUSDT,30:9:27:48,0.02677000,30:9:28:48,0.02677000,False
128,short,GMXUSDT,30:9:27:52,44.07000000,30:9:28:52,44.07000000,False
129,short,KAVAUSDT,30:9:27:59,0.73100000,30:9:28:59,0.73100000,False
130,short,GRTUSDT,30:9:28:7,0.16110000,30:9:29:7,0.16120000,False
131,short,AMBUSDT,30:9:28:17,0.00772000,30:9:29:17,0.00772000,False
132,short,FTMUSDT,30:9:28:25,0.38090000,30:9:29:25,0.38100000,False
133,long,TIAUSDT,30:9:28:31,17.60820000,30:9:29:31,17.60650000,False
134,long,LITUSDT,30:9:29:6,0.83000000,30:9:30:6,0.83000000,False
135,long,UMAUSDT,30:9:29:21,4.93600000,30:9:30:21,4.92800000,False
