MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
long,JTOUSDT,30:9:23:5,,30:9:24:5,,
short,RVNUSDT,30:9:23:30,,30:9:24:30,,
long,GASUSDT,30:9:24:9,,30:9:25:9,,
long,ZENUSDT,30:9:24:16,,30:9:25:16,,
short,DUSKUSDT,30:9:24:37,,30:9:25:37,,
short,ZECUSDT,30:9:24:53,,30:9:25:53,,
long,STXUSDT,30:9:25:14,,30:9:26:14,,
short,COTIUSDT,30:9:25:15,,30:9:26:15,,
short,KLAYUSDT,30:9:25:33,,30:9:26:33,,
long,RENUSDT,30:9:25:36,,30:9:26:36,,
short,LINAUSDT,30:9:25:47,,30:9:26:47,,
short,CHRUSDT,30:9:26:16,,30:9:27:16,,
short,OGNUSDT,30:9:26:16,,30:9:27:16,,
short,AAVEUSDT,30:9:26:17,,30:9:27:17,,
short,AVAXUSDT,30:9:26:20,,30:9:27:20,,
short,ROSEUSDT,30:9:26:24,,30:9:27:24,,
short,GALUSDT,30:9:27:17,,30:9:28:17,,
short,BATUSDT,30:9:27:23,,30:9:28:23,,
long,CTKUSDT,30:9:27:26,,30:9:28:26,,
short,IDUSDT,30:9:27:28,,30:9:28:28,,
short,TUSDT,30:9:27:48,,30:9:28:48,,
short,GMXUSDT,30:9:27:52,,30:9:28:52,,
short,KAVAUSDT,30:9:27:59,,30:9:28:59,,
short,GRTUSDT,30:9:28:7,,30:9:29:7,,
short,AMBUSDT,30:9:28:17,,30:9:29:17,,
short,FTMUSDT,30:9:28:25,,30:9:29:25,,
long,TIAUSDT,30:9:28:31,,30:9:29:31,,
long,LITUSDT,30:9:29:6,,30:9:30:6,,
long,UMAUSDT,30:9:29:21,,30:9:30:21,,
short,ALPHAUSDT,30:9:30:6,,31:9:31:6,,
short,MEMEUSDT,30:9:30:10,,31:9:31:10,,
long,ARKUSDT,30:9:30:20,,31:9:31:20,,
short,GTCUSDT,30:9:30:27,,31:9:31:27,,
long,SUSHIUSDT,30:9:30:34,,31:9:31:34,,
short,CHZUSDT,30:9:30:45,,31:9:31:45,,
long,NKNUSDT,30:9:30:57,,31:9:31:57,,
short,OXTUSDT,30:9:31:3,,30:9:32:3,,
short,IOSTUSDT,30:9:31:4,,30:9:32:4,,
short,AGIXUSDT,30:9:31:4,,30:9:32:4,,
short,LRCUSDT,30:9:31:6,,30:9:32:6,,
short,1000SATSUSDT,30:9:31:17,,30:9:32:17,,
short,STXUSDT,30:9:31:21,,30:9:32:21,,
short,ARUSDT,30:9:31:24,,30:9:32:24,,
short,RSRUSDT,30:9:31:50,,30:9:32:50,,
short,BTCUSDT,30:9:31:53,,30:9:32:53,,
short,ZILUSDT,30:9:31:57,,30:9:32:57,,
short,AGLDUSDT,30:9:31:58,,30:9:32:58,,
short,KSMUSDT,30:9:32:0,,30:9:33:0,,
long,RNDRUSDT,30:9:32:6,,30:9:33:6,,
short,ZENUSDT,30:9:32:21,,30:9:33:21,,
short,WAVESUSDT,30:9:32:49,,30:9:33:49,,
short,STMXUSDT,30:9:32:51,,30:9:33:51,,
short,QTUMUSDT,30:9:32:53,,30:9:33:53,,
short,VETUSDT,30:9:33:5,,30:9:34:5,,
short,LQTYUSDT,30:9:33:9,,30:9:34:9,,
short,OPUSDT,30:9:33:11,,30:9:34:11,,
short,ANKRUSDT,30:9:33:12,,30:9:34:12,,
long,RUNEUSDT,30:9:34:6,,30:9:35:6,,
short,MBLUSDT,30:9:34:10,,30:9:35:10,,
short,BALUSDT,30:9:34:13,,30:9:35:13,,
short,HIGHUSDT,30:9:34:18,,30:9:35:18,,
short,KNCUSDT,30:9:34:19,,30:9:35:19,,
short,STRAXUSDT,30:9:34:30,,30:9:35:30,,
short,COMPUSDT,30:9:34:35,,30:9:35:35,,
short,ETHUSDC,30:9:34:53,,30:9:35:53,,
short,ARKMUSDT,30:9:34:55,,30:9:35:55,,
short,DGBUSDT,30:9:34:57,,30:9:35:57,,
short,XRPUSDC,30:9:35:12,,30:9:36:12,,
short,SOLUSDC,30:9:35:31,,30:9:36:31,,
short,IOTAUSDT,30:9:35:33,,30:9:36:33,,
short,BICOUSDT,30:9:35:41,,30:9:36:41,,
